Date,x,y,hr,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,port rets,cum rets
2010-04-16,24.48,28.07,-1.1118558241472618,0.8517694248750303,-0.9094849905577364,False,False,1.0,False,False,0.0,1.0,8.5284972701131e-05,8.5284972701131e-05,1.0034746123701306
2010-04-19,24.32,28.11,-1.1114582427914415,1.0793355353121434,1.1983631859327102,False,True,0.0,False,False,0.0,0.0,0.00412701066710661,0.00412701066710661,1.007601623037237
2010-04-20,24.67,28.64,-1.1114890393888037,1.2195653982782098,1.5969580828024177,False,False,0.0,False,False,0.0,0.0,0.002501405206048107,0.0,1.007601623037237
2010-04-21,24.55,28.57,-1.111847434027126,1.2741454946340554,1.3954140446717216,False,False,0.0,False,False,0.0,0.0,0.000976984901405261,0.0,1.007601623037237
2010-04-22,24.38,28.65,-1.1128006468596112,1.519920229562679,1.6237159696479797,False,False,0.0,False,False,0.0,0.0,0.004406138104142349,0.0,1.007601623037237
2010-04-23,24.29,28.77,-1.1143868560333274,1.7015432669504769,1.5200677637920208,False,False,0.0,False,False,0.0,0.0,0.003252651452315287,0.0,1.007601623037237
2010-04-26,24.24,28.85,-1.1164648297457231,1.7868925269636726,1.297720595867324,False,False,0.0,False,False,0.0,0.0,0.001526462467755969,0.0,1.007601623037237
2010-04-27,23.35,28.04,-1.1190171393952426,1.910949795121084,1.304288910509241,False,False,0.0,False,False,0.0,0.0,0.0022901872506200568,0.0,1.007601623037237
2010-04-28,23.75,28.11,-1.121117336827898,1.4834632503374223,-0.28352779309132403,False,False,0.0,False,True,0.0,0.0,-0.007809893905761164,-0.0,1.007601623037237
2010-04-29,23.96,28.62,-1.1233445526282937,1.7046645190260818,0.3681584374115686,False,True,0.0,False,False,0.0,0.0,0.003983072520817701,0.0,1.007601623037237
2010-04-30,23.44,28.23,-1.1258669754635993,1.8396780951332339,0.8392038542155144,False,False,0.0,False,False,0.0,0.0,0.0024718561040762022,0.0,1.007601623037237
2010-03-05,23.73,28.46,-1.1282975123430725,1.68550003209889,-0.3281982873345318,False,False,0.0,False,True,0.0,0.0,-0.0027913362685267843,-0.0,1.007601623037237
2010-04-05,22.49,27.63,-1.1315084490445189,2.1823749809887723,1.7659816231742713,False,True,0.0,False,False,0.0,0.0,0.009361288277535264,0.0,1.007601623037237
2010-05-05,22.3,27.14,-1.1345803729698918,1.8388576827714118,0.14881366559003908,False,False,0.0,False,False,0.0,0.0,-0.006550530423981707,-0.0,1.007601623037237
2010-06-05,20.81,26.39,-1.1390006262653576,2.687396967417911,1.9222909420147216,False,False,0.0,False,False,0.0,0.0,0.01693941287288619,0.0,1.007601623037237
2010-07-05,20.84,26.36,-1.1439177720174134,2.5207536311571026,1.1235496675187961,False,False,0.0,False,False,0.0,0.0,-0.003319638208039683,-0.0,1.007601623037237
2010-10-05,22.43,27.51,-1.1478736154191345,1.7631948061488174,-0.7829349442544689,False,False,0.0,False,True,0.0,0.0,-0.014224638940522663,-0.0,1.007601623037237
2010-11-05,21.92,27.67,-1.1523764685553923,2.4099078092657997,0.6372541847211907,False,True,0.0,False,False,0.0,0.0,0.01221824819020803,0.0,1.007601623037237
2010-12-05,22.08,28.16,-1.1575261206823877,2.6018232553328815,0.8558555071445908,False,False,0.0,False,False,0.0,0.0,0.003572635143208471,0.0,1.007601623037237
2010-05-13,21.95,27.86,-1.162601567711039,2.3408955887426934,0.08720364332972773,False,False,0.0,False,False,0.0,0.0,-0.004888198658783795,-0.0,1.007601623037237
2010-05-14,21.21,27.36,-1.1680491372920185,2.5856777980362864,0.5469236683348925,False,False,0.0,False,False,0.0,0.0,0.0046952218606646215,0.0,1.007601623037237
2010-05-17,21.0,27.04,-1.173403583667585,2.3985247429807153,0.0840607831648032,False,False,0.0,False,False,0.0,0.0,-0.0036212792712443384,-0.0,1.007601623037237
2010-05-18,20.44,26.81,-1.1792377994031231,2.7063793802001612,0.9840174359342474,False,False,0.0,False,False,0.0,0.0,0.006046606654010462,0.0,1.007601623037237
2010-05-19,19.73,26.49,-1.1860105006399284,3.0900128223742094,1.947303640860448,False,False,0.0,False,False,0.0,0.0,0.0076895879088559205,0.0,1.007601623037237
2010-05-20,18.47,25.2,-1.1934417947346032,3.1571300512518796,1.4500445181811548,False,False,0.0,False,False,0.0,0.0,0.0014206848345683276,0.0,1.007601623037237
2010-05-21,19.29,25.68,-1.2002513052632777,2.527152321471373,-0.49477669890582965,False,False,0.0,False,True,0.0,0.0,-0.012900696144687506,-0.0,1.007601623037237
2010-05-24,19.25,25.36,-1.2060614811968946,2.1433164869597796,-1.4168706581320978,False,False,0.0,False,False,0.0,0.0,-0.007901647596187876,-0.0,1.007601623037237
2010-05-25,19.1,25.43,-1.2115536333436852,2.2893256031356124,-0.8382975117323586,False,False,0.0,False,False,0.0,0.0,0.0030061167152593375,0.0,1.007601623037237
2010-05-26,18.94,25.47,-1.2170971641499257,2.418179711000402,-0.5171582508228261,False,False,0.0,False,False,0.0,0.0,0.0026555909711821375,0.0,1.007601623037237
2010-05-27,20.24,26.39,-1.221414634505605,1.6685677976065598,-1.5319828646192657,False,False,0.0,False,False,0.0,0.0,-0.014666227908180967,-0.0,1.007601623037237
2010-05-28,20.11,26.17,-1.2247728256932726,1.5398184753082909,-1.300949979019049,False,False,0.0,False,False,0.0,0.0,-0.0025344264219939773,-0.0,1.007601623037237
2010-01-06,19.48,25.86,-1.228242259202487,1.9338407907355517,-0.37446427882354705,False,False,0.0,False,False,0.0,0.0,0.007914294287516345,0.0,1.007601623037237
2010-02-06,20.06,26.721,-1.2319240415654602,2.0086037261968706,0.026347139854717906,False,True,0.0,False,False,0.0,0.0,0.0014535873746956566,0.0,1.007601623037237
2010-03-06,20.12,26.67,-1.2353941772277495,1.8138691541776808,-0.4390742066390616,False,False,0.0,False,True,0.0,0.0,-0.003779336209075722,-0.0,1.007601623037237
2010-04-06,19.08,25.7,-1.2391507589317765,2.0570035195817056,0.47751844276553734,False,True,0.0,False,False,0.0,0.0,0.004927434139523982,0.0,1.007601623037237
2010-07-06,18.65,25.48,-1.243488062232396,2.2889476393658157,1.5403584546291915,False,False,0.0,False,False,0.0,0.0,0.004765545607386737,0.0,1.007601623037237
2010-08-06,19.43,25.91,-1.2471339713611238,1.6781869364533648,-0.8986412469146,False,False,0.0,False,True,0.0,0.0,-0.012180666505585079,-0.0,1.007601623037237
2010-09-06,19.48,25.79,-1.249951340380422,1.4409478893893777,-1.6256102275743949,False,False,0.0,False,False,0.0,0.0,-0.004731622100486054,-0.0,1.007601623037237
2010-10-06,20.52,26.59,-1.251350985009061,0.9122777876140695,-1.8140348558416435,False,False,0.0,False,False,0.0,0.0,-0.010114657371658502,-0.0,1.007601623037237
2010-11-06,20.63,26.59,-1.2516386130771833,0.7686954122177099,-1.410230769942186,False,False,0.0,False,False,0.0,0.0,-0.0027395306513669656,-0.0,1.007601623037237
2010-06-14,20.78,26.66,-1.2510707882835606,0.6627490194676113,-1.1484910357572276,False,False,0.0,False,False,0.0,0.0,-0.0020120000717330907,-0.0,1.007601623037237
2010-06-15,21.23,27.38,-1.250296056073225,0.8362147295654303,-0.6514884338167578,False,False,0.0,False,False,0.0,0.0,0.003216868200699684,0.0,1.007601623037237
2010-06-16,21.09,27.43,-1.2498148624423513,1.0714045510908115,0.04934048470708455,False,True,0.0,False,False,0.0,0.0,0.004372484902469241,0.0,1.007601623037237
2010-06-17,21.04,27.43,-1.2496263460623265,1.137861678848651,0.6155844759714967,False,False,0.0,False,False,0.0,0.0,0.0012370529140250973,0.0,1.007601623037237
2010-06-18,21.23,27.62,-1.2495319511660965,1.0924366767437732,0.9210934676119583,False,False,0.0,False,False,0.0,0.0,-0.0008389112882826246,-0.0,1.007601623037237
2010-06-21,21.46,27.51,-1.2488203569614689,0.7103151396068803,-0.9407764585869689,False,False,0.0,False,True,0.0,0.0,-0.007035974119886044,-0.0,1.007601623037237
2010-06-22,21.06,27.08,-1.2479016423390872,0.7991914123388248,-0.5229048422687391,False,False,0.0,False,False,0.0,0.0,0.001665572075916701,0.0,1.007601623037237
2010-06-23,20.74,26.65,-1.2468466198117976,0.7904011051033208,-0.7413174926067835,False,False,0.0,False,False,0.0,0.0,-0.00016740381607368017,-0.0,1.007601623037237
2010-06-24,20.32,26.2,-1.2458758066981181,0.8838036078942366,-0.24887166879637293,False,False,0.0,False,False,0.0,0.0,0.001813070632777318,0.0,1.007601623037237
2010-06-25,20.44,26.43,-1.2451209653697226,0.9797274678428671,0.40992155422502236,False,True,0.0,False,False,0.0,0.0,0.0018489467241941274,0.0,1.007601623037237
2010-06-28,20.16,26.25,-1.2448006100173958,1.1548197020492985,1.4413139670173423,False,False,0.0,False,False,0.0,0.0,0.0034101006791755232,0.0,1.007601623037237
2010-06-29,19.2,25.03,-1.2446975170366232,1.1318076728968371,1.213814130343015,False,False,0.0,False,False,0.0,0.0,-0.00047032248807839445,-0.0,1.007601623037237
2010-06-30,18.98,24.87,-1.2449137513864603,1.2415369986849818,1.345009132909822,False,False,0.0,False,False,0.0,0.0,0.0022625320267400926,0.0,1.007601623037237
2010-01-07,18.99,24.61,-1.2448479415712634,0.9703375895617086,-0.31994679716381014,False,False,0.0,False,True,0.0,0.0,-0.00562075246902872,-0.0,1.007601623037237
2010-02-07,18.98,24.61,-1.2446417525774711,0.9866995360795983,-0.4957130524189108,False,False,0.0,False,False,0.0,0.0,0.0003392251071462298,0.0,1.007601623037237
2010-06-07,19.28,24.82,-1.2440833983446382,0.8340720799153729,-1.5011233655596337,False,False,0.0,False,False,0.0,0.0,-0.0031272319299848013,-0.0,1.007601623037237
2010-07-07,19.88,25.44,-1.2431220520433997,0.7267336053772162,-1.522710317520224,False,False,0.0,False,False,0.0,0.0,-0.0021402090482717804,-0.0,1.007601623037237
2010-08-07,20.35,25.65,-1.2413210202701537,0.3891172375023686,-1.7997485007303056,False,False,0.0,False,False,0.0,0.0,-0.006631516672964571,-0.0,1.007601623037237
2010-09-07,20.5,26.21,-1.239732054284372,0.7954928871703757,-0.20342824321172656,False,False,0.0,False,False,0.0,0.0,0.007871758441777265,0.0,1.007601623037237
2010-12-07,20.36,26.14,-1.2385007474603116,0.9241247817080591,0.5841903432402173,False,True,0.0,False,False,0.0,0.0,0.002504716237254726,0.0,1.007601623037237
2010-07-13,20.62,26.44,-1.2374819353806505,0.923122492450986,0.6293893675900153,False,False,0.0,False,False,0.0,0.0,-1.9290790847227176e-05,-0.0,1.007601623037237
2010-07-14,20.73,26.31,-1.2361698087594273,0.6841998644170708,-0.3772634525803013,False,False,0.0,False,True,0.0,0.0,-0.004600345569148581,-0.0,1.007601623037237
2010-07-15,20.71,26.47,-1.2350507430095121,0.8920991122730015,0.6840148918930331,False,True,0.0,False,False,0.0,0.0,0.003994382949360284,0.0,1.007601623037237
2010-07-16,20.04,25.68,-1.2341483607700257,0.9476668501686873,0.7653901985328242,False,False,0.0,False,False,0.0,0.0,0.0011022647519711502,0.0,1.007601623037237
2010-07-19,20.1,25.58,-1.2331046491784623,0.7945965515129032,-0.5919691244082871,False,False,0.0,False,True,0.0,0.0,-0.003039195324074827,-0.0,1.007601623037237
2010-07-20,20.79,26.06,-1.231382803579241,0.45955151358758073,-1.9329757873818016,False,False,0.0,False,False,0.0,0.0,-0.006485523214407343,-0.0,1.007601623037237
2010-07-21,20.32,25.65,-1.2296212042905763,0.664097128815488,-0.5824243072495225,False,False,0.0,False,False,0.0,0.0,0.004039537238000124,0.0,1.007601623037237
2010-07-22,20.96,26.23,-1.2275433819220598,0.5006907149136275,-1.108709881844104,False,False,0.0,False,False,0.0,0.0,-0.0031448919577682344,-0.0,1.007601623037237
2010-07-23,21.31,26.39,-1.2249011064333117,0.2873574219061297,-1.4814885164931761,False,False,0.0,False,False,0.0,0.0,-0.0040640608384331115,-0.0,1.007601623037237
2010-07-26,21.61,26.58,-1.2217326743894399,0.1783569064442041,-1.3498479754495458,False,False,0.0,False,False,0.0,0.0,-0.0020573260680015306,-0.0,1.007601623037237
2010-07-27,21.53,26.44,-1.2183159264810477,0.20965810286304176,-0.9987839256332889,False,False,0.0,False,False,0.0,0.0,0.0005942850433735104,0.0,1.007601623037237
2010-07-28,21.38,26.34,-1.2150296270394694,0.36266657389614565,-0.10198964188963777,False,False,0.0,False,False,0.0,0.0,0.0029246228928930837,0.0,1.007601623037237
2010-07-29,21.56,26.52,-1.2118736565537322,0.39200396470153365,0.12538490798366295,False,True,0.0,False,False,0.0,0.0,0.0005572366094564815,0.0,1.007601623037237
2010-07-30,21.55,26.66,-1.2091696996314865,0.6023929729414661,1.5721522612079177,False,False,0.0,False,False,0.0,0.0,0.003990867949145442,0.0,1.007601623037237
2010-02-08,22.26,27.14,-1.2061807235706266,0.2904170933178527,-0.29293929304309807,False,False,0.0,False,True,0.0,0.0,-0.005778445819128582,-0.0,1.007601623037237
2010-03-08,22.02,26.99,-1.2033891404245347,0.4913711278517461,0.8614041498434035,False,True,0.0,False,False,0.0,0.0,0.0037569486967823727,0.0,1.007601623037237
2010-04-08,22.25,27.23,-1.2007545079724862,0.5132121976121837,0.7665574796016023,False,False,0.0,False,False,0.0,0.0,0.000404863211512121,0.0,1.007601623037237
2010-05-08,22.08,27.09,-1.1984218974706708,0.6288445038475885,1.2731888542434242,False,False,0.0,False,False,0.0,0.0,0.0021592868569140925,0.0,1.007601623037237
2010-06-08,22.07,26.88,-1.1960153808236584,0.4839405452218557,-0.017859786424249537,False,False,0.0,False,True,0.0,0.0,-0.002719870052490094,-0.0,1.007601623037237
2010-09-08,22.28,26.98,-1.1934044136845703,0.39094966310777224,-0.8119317154087277,False,False,0.0,False,False,0.0,0.0,-0.0017359068628110808,-0.0,1.007601623037237
2010-10-08,21.89,26.83,-1.191312686080906,0.7521653016889651,1.6257633930036581,False,True,0.0,False,False,0.0,0.0,0.0068272617966866804,0.0,1.007601623037237
2010-11-08,20.89,25.9,-1.1900298022185019,1.0402774316554932,1.927604431570011,False,False,0.0,False,False,0.0,0.0,0.005675998909935034,0.0,1.007601623037237
2010-12-08,20.84,25.8,-1.1891733442001902,1.0176275068680383,1.2693047668210469,False,False,0.0,False,False,0.0,0.0,-0.00044778296610208167,-0.0,1.007601623037237
2010-08-13,21.0,25.77,-1.1882161691638173,0.817460447559835,0.3386802939997664,False,False,0.0,False,False,0.0,0.0,-0.003946313829599519,-0.0,1.007601623037237
2010-08-16,21.23,25.73,-1.1867098712546842,0.5361494332630556,-0.7117113922276666,False,False,0.0,False,True,0.0,0.0,-0.005524150494631478,-0.0,1.007601623037237
